area,ticker,interval,signal,candles_from_last
sp500,LRCX,1d,['piercing_line'],[287]
sp500,LULU,1d,"['hammer', 'hammer', 'hammer', 'inverted_hammer, rebound', 'engulfing']","[593, 308, 235, 183, 52]"
sp500,LUV,1d,,
sp500,LVS,1d,"['inverted_hammer', 'inverted_hammer', 'inverted_hammer']","[1180, 455, 287]"
sp500,LW,1d,['inverted_hammer'],[1164]
sp500,LYB,1d,,
sp500,LYV,1d,"['hammer', 'hammer', 'hammer', 'hammer', 'engulfing']","[922, 804, 650, 308, 159]"
sp500,MA,1d,"['inverted_hammer', 'inverted_hammer', 'inverted_hammer']","[307, 169, 91]"
sp500,MAA,1d,,
sp500,MAR,1d,"['inverted_hammer', 'hammer']","[287, 58]"
sp500,MAS,1d,"['inverted_hammer', 'inverted_hammer', 'engulfing']","[287, 145, 57]"
sp500,MCD,1d,"['inverted_hammer', 'inverted_hammer', 'hammer']","[399, 18, 13]"
sp500,MCHP,1d,"['inverted_hammer', 'hammer']","[202, 138]"
sp500,MCK,1d,"['inverted_hammer', 'hammer', 'hammer']","[430, 43, 20]"
sp500,MCO,1d,['inverted_hammer'],[1022]
sp500,MDLZ,1d,,
sp500,MDT,1d,['inverted_hammer'],[71]
sp500,MET,1d,"['inverted_hammer', 'inverted_hammer']","[393, 54]"
sp500,META,1d,"['hammer', 'engulfing', 'hammer', 'inverted_hammer', 'hammer']","[311, 287, 165, 141, 138]"
sp500,MGM,1d,"['inverted_hammer', 'inverted_hammer', 'engulfing', 'engulfing', 'hammer']","[680, 674, 358, 345, 205]"
sp500,MKC,1d,,
sp500,MLM,1d,"['inverted_hammer', 'inverted_hammer', 'inverted_hammer']","[993, 361, 8]"
sp500,MMC,1d,,
sp500,MMM,1d,,
sp500,MNST,1d,"['rebound', 'inverted_hammer', 'hammer', 'hammer', 'inverted_hammer']","[490, 360, 359, 57, 48]"
sp500,MO,1d,,
sp500,MOH,1d,"['inverted_hammer', 'inverted_hammer', 'inverted_hammer', 'engulfing', 'inverted_hammer']","[752, 532, 431, 224, 210]"
sp500,MOS,1d,,
sp500,MPC,1d,,
sp500,MRK,1d,['inverted_hammer'],[330]
sp500,MRNA,1d,"['hammer', 'hammer', 'hammer', 'engulfing', 'hammer']","[481, 428, 292, 287, 186]"
sp500,MS,1d,,
sp500,MSFT,1d,['inverted_hammer'],[466]
sp500,MSI,1d,['engulfing'],[11]
sp500,MTB,1d,['hammer'],[9]
sp500,MTCH,1d,,
sp500,MU,1d,"['inverted_hammer', 'inverted_hammer', 'hammer']","[1268, 924, 218]"
sp500,NCLH,1d,"['hammer', 'hammer, rebound', 'hammer', 'inverted_hammer', 'hammer']","[308, 288, 140, 139, 21]"
sp500,NDAQ,1d,['inverted_hammer'],[75]
sp500,NDSN,1d,,
sp500,NEE,1d,,
sp500,NEM,1d,,
sp500,NFLX,1d,"['inverted_hammer', 'inverted_hammer', 'hammer', 'hammer', 'rebound']","[128, 119, 99, 96, 80]"
sp500,NI,1d,,
sp500,NKE,1d,"['piercing_line', 'inverted_hammer', 'hammer', 'hammer', 'inverted_hammer']","[288, 109, 59, 39, 9]"
sp500,NOC,1d,,
sp500,NOW,1d,"['hammer', 'inverted_hammer', 'hammer', 'engulfing', 'inverted_hammer']","[138, 90, 83, 76, 25]"
sp500,NRG,1d,"['inverted_hammer', 'hammer']","[13, 7]"
sp500,NSC,1d,['inverted_hammer'],[514]
sp500,NTAP,1d,"['inverted_hammer', 'inverted_hammer', 'inverted_hammer', 'inverted_hammer', 'inverted_hammer']","[1068, 875, 455, 313, 132]"
sp500,NTRS,1d,['inverted_hammer'],[287]
sp500,NUE,1d,['inverted_hammer'],[254]
sp500,NVDA,1d,"['engulfing', 'inverted_hammer', 'inverted_hammer', 'inverted_hammer', 'piercing_line']","[927, 702, 434, 289, 287]"
sp500,NWS,1d,"['inverted_hammer', 'inverted_hammer']","[804, 349]"
sp500,NWSA,1d,,
sp500,NXPI,1d,"['inverted_hammer', 'inverted_hammer', 'hammer, engulfing']","[601, 58, 57]"
sp500,O,1d,,
sp500,ODFL,1d,"['inverted_hammer', 'hammer']","[523, 433]"
sp500,OKE,1d,,
sp500,OMC,1d,,
sp500,ON,1d,"['engulfing', 'piercing_line', 'rebound', 'engulfing', 'engulfing']","[526, 345, 312, 287, 57]"
sp500,ORCL,1d,"['inverted_hammer', 'hammer', 'hammer', 'piercing_line', 'hammer']","[455, 138, 136, 133, 83]"
sp500,ORLY,1d,"['hammer', 'inverted_hammer', 'inverted_hammer', 'inverted_hammer', 'inverted_hammer']","[511, 392, 143, 111, 78]"
sp500,OTIS,1d,"['inverted_hammer', 'inverted_hammer']","[463, 394]"
sp500,OXY,1d,"['inverted_hammer', 'inverted_hammer', 'hammer']","[455, 287, 29]"
sp500,PANW,1d,"['hammer', 'hammer', 'hammer', 'inverted_hammer', 'inverted_hammer']","[773, 348, 292, 130, 68]"
sp500,PAYC,1d,"['inverted_hammer', 'inverted_hammer', 'piercing_line', 'rebound', 'inverted_hammer']","[644, 501, 79, 73, 67]"
sp500,PAYX,1d,,
sp500,PCAR,1d,['inverted_hammer'],[304]
sp500,PCG,1d,,
sp500,PEG,1d,,
sp500,PEP,1d,,
sp500,PFE,1d,,
sp500,PFG,1d,,
sp500,PG,1d,,
sp500,PGR,1d,['hammer'],[14]
sp500,PH,1d,['piercing_line'],[287]
sp500,PHM,1d,"['inverted_hammer', 'inverted_hammer', 'inverted_hammer', 'hammer', 'hammer']","[478, 364, 359, 109, 57]"
sp500,PKG,1d,['hammer'],[67]
sp500,PLD,1d,,
sp500,PLTR,1d,"['engulfing', 'hammer', 'hammer', 'hammer', 'hammer']","[1014, 456, 128, 89, 34]"
sp500,PM,1d,,
sp500,PNC,1d,['inverted_hammer'],[54]
sp500,PNR,1d,"['hammer', 'hammer', 'hammer']","[55, 20, 12]"
sp500,PNW,1d,,
sp500,PODD,1d,"['engulfing', 'hammer', 'hammer', 'hammer', 'hammer']","[660, 565, 166, 165, 2]"
sp500,POOL,1d,['inverted_hammer'],[483]
sp500,PPG,1d,['inverted_hammer'],[287]
sp500,PPL,1d,,
sp500,PRU,1d,,
sp500,PSA,1d,,
sp500,PSKY,1d,"['inverted_hammer', 'hammer', 'inverted_hammer', 'hammer', 'hammer, engulfing']","[287, 142, 90, 83, 76]"
sp500,PSX,1d,,
sp500,PTC,1d,"['hammer', 'hammer', 'inverted_hammer', 'hammer', 'inverted_hammer']","[679, 497, 325, 292, 144]"
sp500,PWR,1d,"['inverted_hammer', 'hammer', 'hammer', 'engulfing', 'inverted_hammer']","[989, 671, 664, 662, 601]"
sp500,PYPL,1d,"['engulfing', 'hammer', 'inverted_hammer', 'hammer, engulfing', 'inverted_hammer']","[696, 130, 13, 12, 9]"
sp500,Q,1d,,
sp500,QCOM,1d,"['inverted_hammer', 'inverted_hammer', 'inverted_hammer']","[90, 82, 50]"
sp500,RCL,1d,"['inverted_hammer', 'hammer', 'hammer']","[1228, 981, 308]"
sp500,REG,1d,,
sp500,RF,1d,"['inverted_hammer', 'hammer', 'hammer']","[806, 58, 57]"
sp500,RJF,1d,"['inverted_hammer', 'hammer']","[145, 73]"
